group,net_name,port_suggested,fpga_ball,pinfunction,pintype,direction,connects_to
AtariInterfaces,/AtariInterfaces/FPGA.GPIO0,FPGA_GPIO[0],C3,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/FPGA.GPIO2,FPGA_GPIO[2],C4,IO,bidirectional,inout,Edge conn via U29
FPGA,/FPGA/FSMC.A9,FSMC_A[9],C6,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D4,FSMC_D[4],C7,IO,bidirectional,inout,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D7,FSMC_D[7],C8,IO,bidirectional,inout,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D13,FSMC_D[13],C10,IO,bidirectional,inout,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D1,FSMC_D[1],C13,IO,bidirectional,inout,STM32 U19 (direct)
AtariInterfaces,/AtariInterfaces/PBI.A0,PBI_A[0],C15,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.A15,PBI_A[15],C17,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.D5,PBI_D[5],C19,IO,bidirectional,inout,Edge conn via U29/U33
AtariInterfaces,/AtariInterfaces/PBI.HALT,PBI_HALT,C20,IO,bidirectional,inout,Edge conn via U33
AtariInterfaces,/AtariInterfaces/PBI.MPD,PBI_MPD,C21,IO,bidirectional,inout,Edge conn via U33
AtariInterfaces,/AtariInterfaces/PBI.EXTENB,PBI_EXTENB,C22,IO,bidirectional,inout,Edge conn via U33
FPGA,/FPGA/SPI.MOSI,SPI_MOSI,D1,"DATA1,ASDO",bidirectional,,Config pins (dedicated)
